fromNode	toNode	weight	direction	fromAltName	toAltName
AP000350.6	CYP4F24P	0.0403440429817559	undirected	NA	NA
AP000350.6	AC253536.6	0.0627554424067393	undirected	NA	NA
AP000350.6	OVCH2	0.0643571307616967	undirected	NA	NA
AP000350.6	OR5P1P	0.0659191414335132	undirected	NA	NA
AP000350.6	OPTC	0.0441270153509021	undirected	NA	NA
AP000350.6	LTF	0.0457043319257229	undirected	NA	NA
AP000350.6	AC012501.1	0.0713271963947048	undirected	NA	NA
AP000350.6	AC044810.2	0.0642725170823198	undirected	NA	NA
AP000350.6	OR5P3	0.0655596389429778	undirected	NA	NA
AP000350.6	AC104237.3	0.0688521903917843	undirected	NA	NA
AP000350.6	OR5P2	0.0627160526717425	undirected	NA	NA
AP000350.6	PLVAP	0.0527838647838687	undirected	NA	NA
AP000350.6	LPAR3	0.0550645090264084	undirected	NA	NA
AP000350.6	SCNN1A	0.0410335875555618	undirected	NA	NA
AP000350.6	AC104237.2	0.0686104948697275	undirected	NA	NA
AP000350.6	CXCL10	0.0402163702884496	undirected	NA	NA
AP000350.6	MXRA5	0.0651311801327273	undirected	NA	NA
AP000350.6	H19	0.0708501098260104	undirected	NA	NA
AP000350.6	MYOC	0.0550361011904601	undirected	NA	NA
AP000350.6	IGHG1	0.0399724874154527	undirected	NA	NA
AP000350.6	SLPI	0.0806390577214034	undirected	NA	NA
AP000350.6	IGKC	0.0441583570093631	undirected	NA	NA
AP000350.6	CLEC12A	0.0574988056819489	undirected	NA	NA
AP000350.6	DDTL	0.0656102405345899	undirected	NA	NA
AP000350.6	IGHA1	0.0408904935664062	undirected	NA	NA
AP000350.6	TYR	0.0656567431640789	undirected	NA	NA
AP000350.6	HAS2	0.0429573919379899	undirected	NA	NA
AP000350.6	CHI3L2	0.0753928162247174	undirected	NA	NA
AP000350.6	FOLR2	0.0506134613042661	undirected	NA	NA
AP000350.6	CYB5R2	0.0681661284495787	undirected	NA	NA
AP000350.6	MMP19	0.0734474187608089	undirected	NA	NA
AP000350.6	CPXM1	0.0589645667329675	undirected	NA	NA
AP000350.6	PLEKHS1	0.0766781943446426	undirected	NA	NA
AP000350.6	LEFTY2	0.0551837597585573	undirected	NA	NA
AP000350.6	CHMP4C	0.0510499053055464	undirected	NA	NA
AP000350.6	HLA-DQA1	0.0496432176910747	undirected	NA	NA
AP000350.6	PMEL	0.0560438078174974	undirected	NA	NA
AP000350.6	BARX2	0.0467693755131988	undirected	NA	NA
AP000350.6	TNFRSF11B	0.0844256600133516	undirected	NA	NA
AP000350.6	SLC34A2	0.0631970370900417	undirected	NA	NA
AP000350.6	MKI67	0.0601258958983164	undirected	NA	NA
AP000350.6	BEST2	0.0459268017303634	undirected	NA	NA
AP000350.6	TNXA	0.0522185735294634	undirected	NA	NA
AP000350.6	CD209	0.0614435875440461	undirected	NA	NA
AP000350.6	RFX4	0.0400769381256693	undirected	NA	NA
AP000350.6	GSX2	0.0388923688951981	undirected	NA	NA
AP000350.6	MLANA	0.041432831905383	undirected	NA	NA
AP000350.6	PRSS33	0.0315396670909486	undirected	NA	NA
AP000350.6	RNASE2	0.0391591574466241	undirected	NA	NA
AP000350.6	TNFSF14	0.0603190349486574	undirected	NA	NA
AP000350.6	CWH43	0.0498385612437417	undirected	NA	NA
AP000350.6	AC060834.1	0.0277956688270914	undirected	NA	NA
AP000350.6	SCNN1B	0.050213272151485	undirected	NA	NA
AP000350.6	AC012400.1	0.0443316845743628	undirected	NA	NA
AP000350.6	CD69	0.044767898752017	undirected	NA	NA
AP000350.6	LRRC8E	0.0389183974403334	undirected	NA	NA
AP000350.6	SELP	0.0388003735790701	undirected	NA	NA
AP000350.6	HLA-DQB1	0.0273319133586733	undirected	NA	NA
AP000350.6	SULT1C2	0.0631208076997122	undirected	NA	NA
AP000350.6	C1orf87	0.0397306062433053	undirected	NA	NA
AP000350.6	CR769776.2	0.0399069301031049	undirected	NA	NA
AP000350.6	CLEC19A	0.0438646402622036	undirected	NA	NA
AP000350.6	ADGRE1	0.0651868494323592	undirected	NA	NA
AP000350.6	CD48	0.04893410255759	undirected	NA	NA
AP000350.6	AC092813.1	0.0543186234489762	undirected	NA	NA
AP000350.6	EMX2	0.0432631254018288	undirected	NA	NA
AP000350.6	MYOT	0.0314941270823657	undirected	NA	NA
AP000350.6	VNN2	0.0455362037551876	undirected	NA	NA
AP000350.6	TACSTD2	0.0531709777590009	undirected	NA	NA
AP000350.6	BMP5	0.0508612897678172	undirected	NA	NA
AP000350.6	AC243772.3	0.0424661990431191	undirected	NA	NA
AP000350.6	FGFBP2	0.0671965013502139	undirected	NA	NA
AP000350.6	CCR2	0.0468312602922246	undirected	NA	NA
AP000350.6	AC139495.3	0.0412540118861531	undirected	NA	NA
AP000350.6	FST	0.0653948044390801	undirected	NA	NA
AP000350.6	LILRA4	0.0352025040752681	undirected	NA	NA
AP000350.6	HIST1H3F	0.0379486967375652	undirected	NA	NA
AP000350.6	VNN1	0.042257491133016	undirected	NA	NA
AP000350.6	TMEM155	0.0275294661662013	undirected	NA	NA
AP000350.6	LINC01440	0.0428483986449897	undirected	NA	NA
AP000350.6	TNFRSF8	0.0520789024941413	undirected	NA	NA
AP000350.6	AC116096.1	0.0377720429919153	undirected	NA	NA
AP000350.6	DNAH11	0.0449044302044374	undirected	NA	NA
AP000350.6	ASCL2	0.0415382877919506	undirected	NA	NA
AP000350.6	COL13A1	0.0520706672026322	undirected	NA	NA
AP000350.6	CD38	0.0406593320631334	undirected	NA	NA
AP000350.6	AL031056.1	0.0485927975425073	undirected	NA	NA
AP000350.6	AC044810.3	0.0692462576986582	undirected	NA	NA
AP000350.6	OPN5	0.0483498189666332	undirected	NA	NA
AP000350.6	CLEC17A	0.044968644771665	undirected	NA	NA
AP000350.6	HLA-DRB1	0.0346041930376139	undirected	NA	NA
AP000350.6	LYVE1	0.0520082544354478	undirected	NA	NA
AP000350.6	SIGLEC11	0.0530107832116331	undirected	NA	NA
AP000350.6	LINC01010	0.0425142339829311	undirected	NA	NA
AP000350.6	FCER1A	0.0426950990343844	undirected	NA	NA
AP000350.6	CNTNAP3C	0.0373867555840992	undirected	NA	NA
AP000350.6	FAM181A	0.0445442503360648	undirected	NA	NA
AP000350.6	ENTPD8	0.0376918445847102	undirected	NA	NA
AP000350.6	CCR5	0.0609060229335023	undirected	NA	NA
AP000350.6	AL031651.2	0.0427241312477346	undirected	NA	NA
AP000350.6	AC144450.1	0.0390249507304977	undirected	NA	NA
AP000350.6	MIR4450	0.0475570076535689	undirected	NA	NA
AP000350.6	GPR141	0.0540146382016442	undirected	NA	NA
AP000350.6	NAPSB	0.0404307843764152	undirected	NA	NA
AP000350.6	RHEX	0.0449729114081201	undirected	NA	NA
AP000350.6	FCGBP	0.0885608312760927	undirected	NA	NA
AP000350.6	LINC01761	0.0425265184053044	undirected	NA	NA
AP000350.6	MIR3617	0.027415707911111	undirected	NA	NA
AP000350.6	CYTL1	0.0312417329334026	undirected	NA	NA
AP000350.6	SRPX2	0.0464371597568298	undirected	NA	NA
AP000350.6	LILRA6	0.039001960474557	undirected	NA	NA
AP000350.6	LYZ	0.0792198634966268	undirected	NA	NA
AP000350.6	PDCD1LG2	0.0409006690087244	undirected	NA	NA
AP000350.6	LINC01320	0.0508496106339651	undirected	NA	NA
AP000350.6	MAT1A	0.0551382498311162	undirected	NA	NA
AP000350.6	LINC01684	0.0404545972909404	undirected	NA	NA
AP000350.6	HIST1H2AL	0.0394944872869258	undirected	NA	NA
AP000350.6	AL590004.3	0.0426348423830341	undirected	NA	NA
AP000350.6	KLHDC7B	0.043669136743522	undirected	NA	NA
AP000350.6	HPD	0.0385099116445759	undirected	NA	NA
AP000350.6	AC005336.1	0.056727103536892	undirected	NA	NA
AP000350.6	IL12RB1	0.0505895290699026	undirected	NA	NA
AP000350.6	PTGIR	0.035919886194133	undirected	NA	NA
AP000350.6	PRR15	0.0394286192442824	undirected	NA	NA
AP000350.6	EMX2OS	0.0615004103667621	undirected	NA	NA
AP000350.6	SLC16A12	0.050292039854421	undirected	NA	NA
AP000350.6	FCGR2B	0.0667837593725415	undirected	NA	NA
AP000350.6	AC008957.1	0.0366233595413746	undirected	NA	NA
AP000350.6	HIST1H3G	0.0437542977997281	undirected	NA	NA
AP000350.6	IL7R	0.0371564124977856	undirected	NA	NA
AP000350.6	RPL32P1	0.0401593513172993	undirected	NA	NA
AP000350.6	AC007728.3	0.0472221822417575	undirected	NA	NA
