Gene	DME	DR	severity_score
USP9Y	-0.366461356379044	0.0946864914223124	-0.0771236207170497
KDM5D	-0.370570315481676	0.094089391725983	-0.080689074065924
UTY	-0.36074712003371	0.10088958449244	-0.0709685796021449
DDX3Y	-0.369749379076831	0.100905429399942	-0.073106923519156
TXLNGY	-0.36950840489737	0.0953528769870074	-0.0776555713516727
RPS4Y1	-0.363715155156557	0.0969480245440384	-0.0743448888611526
XIST	0.333914500942625	-0.072398843967237	0.107003767608865
ZFY	-0.353916472556471	0.0973976676974767	-0.0739121918741944
EIF1AY	-0.363453068644071	0.0996662043083774	-0.0714671263821697
NLGN4Y	-0.373761725858518	0.0694215437958606	-0.0604403768161789
TTTY14	-0.351086850038261	0.0968286656592711	-0.0758750900356536
PCDH11Y	-0.359400987137438	0.0856894894745306	-0.102309715126837
TTTY10	-0.356866776635652	0.0942159010033452	-0.0787812551967502
AC010889.1	-0.372857947052571	0.0993080964620038	-0.0744174346874124
GYG2P1	-0.357487808497253	0.0892706579178669	-0.0831684913505518
ANOS2P	-0.347479682374532	0.112308442203886	-0.0646175628793234
FOXG1	-0.0343036785113844	-0.0309838764963618	-0.038188786755061
AP000350.6	-0.396306512348334	-0.247460973641703	-0.374080329825009
MAPK8IP1P2	0.0360054764030369	0.0933047801678211	-0.0178429774151142
AL591846.1	-0.224663366764977	-0.407970675234139	-0.373055245135342
PSPHP1	-0.0805730757486766	-0.160201016526322	-0.0403324831359847
GSTM1	0.127892754920961	0.156803169925961	0.0249684832979528
AC104135.1	-0.163079855504087	-0.0349388815949681	-0.113702654090218
PRKY	-0.348846810094098	0.0841781085926731	-0.0943987129464675
AC017099.1	0.402795912147909	0.238245651904389	0.267507954025968
RASSF6	0.0504982278202751	0.0518781209096046	0.0538040446480728
SIK1	0.0709927025310813	0.0823991380200902	0.0915196379142154
CYP4F24P	0.17279796554183	0.3336415427243	0.382182813026957
TMSB4Y	-0.367480088841655	0.0942183227803076	-0.082072870454633
SDS	0.00829690610573421	-0.0643700953352064	0.00545111888391681
AGKP1	-0.344545163586024	0.0947608303167918	-0.0815622003360472
TBX5	0.187555908050702	0.0144852332570153	0.083103324127911
GAPDHP36	-0.0703499908117991	-0.0287976064353569	-0.0264133768473317
FOXD1	0.0846092141772413	0.0472587961844684	0.112642667563804
FAM153A	-0.0477397318370692	0.105960359476647	0.0998037795333283
AC253536.6	0.0298547287542919	0.167077072095669	0.175982093861136
SH3GL1P2	0.0552608092241712	0.0935338817406955	0.045660774342296
CRYAA	-0.0574770072685158	-0.121122494188113	-0.0464799061885711
GATD3A	-0.14840939471068	-0.135267423209409	-0.0364001590548002
LINC01920	0.0983488083108404	0.0470418956620468	0.0993562737330052
RHOXF1-AS1	-0.170174045095918	-0.183706593829725	-0.155844357232136
AC130456.2	0.0171254291903168	-0.00476541493884222	-0.0834343840092734
AC243562.2	0.125826131998325	0.15225728416522	0.263372915715544
AC009977.1	-0.362698645750733	0.0819620665217146	-0.0917281120420994
PNMA6B	0.209610163142438	0.155588800780666	0.158794477670601
FAM106A	0.0201246514337179	0.0583099293222517	0.156251970501053
AC130456.7	0.044508996473098	0.0454298226952686	-0.0488070375946967
HLA-DRB5	0.227534544054561	0.121993278482407	0.11069593936498
EGR3	0.203722295383426	0.0734595279411896	0.116962527281404
AL031432.2	-0.189349840559008	0.0114561519768936	0.0517788209216957
OCLNP1	0.159521143503732	0.224242226334596	0.24290254053358
HSD17B2	0.120207656196169	0.0117804135394354	0.0831747549779086
AC017091.1	0.233948492374296	0.349563459621572	0.315218942155464
RPL31P12	-0.0968657209245306	0.0785161810407343	0.048309689313714
PMP2	0.0088721160841863	-0.0202243715563663	0.0235155132213573
AC004556.1	-0.0408913832990297	-0.0368853991171087	-0.0276051529527392
LINC02141	-0.119596115869669	-0.0490541450875161	-0.0683498912515362
DIO3	0.22137090479947	0.20071774494659	0.235099078133824
AP002008.3	0.100210861533278	0.232850788974514	0.264716379105546
LRRC52-AS1	-0.0129265569854016	-0.0413955806449941	-0.029749444333472
POU2AF1	0.0829582602721194	0.231110928986496	0.259504464708085
OPN1MW	0.0708110547741172	0.243539717091498	0.264232478836403
FFAR1	-0.128439203517804	-0.0767227600847032	-0.0763061394732349
DKK1	0.00126615484033178	-0.0428573501444528	0.00656622960819242
CRYAA2	0.218825095672114	0.202057703479191	0.234275266645674
TSPEAR	0.25537014108102	0.0722133091817009	0.178083327953401
AMBN	-0.197053928896635	-0.153536880703785	-0.224818462280068
USP32P2	0.116871834914842	0.145191004089495	0.215030756396914
MAPK8IP1P1	0.0255275286763314	0.0590559844136045	-0.0363853556468824
AC016229.1	0.00832079096390959	-0.0717200580387485	-0.15167021023477
AC126177.2	-0.0678763125597847	-0.0422220578141969	0.0155057300631018
PRSS51	0.113584103061775	-0.0461256139776663	0.0602479085056977
FOXG1-AS1	-0.113634127676154	-0.101142687683845	-0.11608648519632
AC138969.2	-0.0316245219361759	0.205925018042718	0.14990544064856
KDM5DP1	-0.36775918352801	0.0921165014214015	-0.0757085786346861
U2AF1L5	-0.051420772588614	0.148782807937087	0.108241094397466
SFRP4	0.343633228490132	0.220947094894696	0.261615511796342
SHROOM2P1	-0.343776285585874	0.0908566456083407	-0.0759526950654009
AC006157.1	-0.391946900604277	0.0713249946144666	-0.0979214519425791
SFRP2	0.266159294949434	0.0140910659920914	0.132634165177369
RNF17	-0.304707191638829	-0.199942501866552	-0.207489179503262
AC093525.6	0.153808243750666	0.147035353704477	0.195830851691784
OVCH2	-0.397941019113079	-0.234801901309622	-0.479471864536259
GDF15	0.0416945241946131	-0.02689681562316	0.087440287966665
LINC01587	0.0682614319064681	0.134631854870926	0.131661591004184
IL6	0.110589133872853	0.0025194141716107	0.147305907936731
EGR2	0.346132367435984	0.0971116006025391	0.221959607558102
CHRND	-0.0972348826658962	-0.15648444398481	-0.052635130265078
C20orf141	0.0602487998546736	0.0401362888716712	0.0146477620239024
EGR1	0.305824690837371	0.127002964340938	0.188920485591691
TP73	0.154332978840317	0.0532757560801252	0.108277530098138
PRPH	-0.123277815152983	-0.0816438876251296	-0.0866109311302513
TBC1D3F	-0.0729512810287787	-0.0619403126480311	-0.0545528972797743
TMEM239	0.109502105057241	0.112268270705951	0.104613976564503
NAP1L1P2	-0.367749506430735	0.127476616683658	-0.0506714590809009
CHI3L1	0.0667871137822406	0.095482299388977	0.11705936442577
SIX2	0.103746898874899	0.0640333748170635	0.026146034461295
AC129507.4	0.156727554797405	0.0493755663360458	0.104536886771543
AC104777.1	0.0308388231464286	0.0105967861364002	0.0374484180432089
RPL5P21	-0.235602093252905	-0.109667774661066	-0.068629161190973
GPX1P1	-0.0235087193917845	-0.0557490817788746	0.101188308106414
AC126177.5	-0.175422021986696	-0.0778605558498507	-0.0839662167009473
FAM9B	0.472623534654119	0.126141422557975	0.323609017251258
LYZL4	0.0422923824305401	0.0174794508321154	0.079176048992519
CASR	-0.10994942579264	0.0292863979618988	-0.0461256432655053
FOS	0.227650801376942	0.0876173541045417	0.158169246561536
RNVU1-19	0.376342089312968	0.178587207092285	0.237549950781946
LINC00431	0.191519515355817	0.0734557103425616	-0.0335365762951955
TBC1D3L	0.172194323043306	0.282548995888169	0.226024431048559
TRPM2-AS	0.00716873802084873	-0.0291431777962326	-0.0392959748843991
AC003986.1	0.0723480183443109	0.0407121258022511	0.0532466405288199
CXCL8	0.219299199035303	0.0917521910977983	0.18787208648244
AC124290.1	-0.00945169955468189	-0.040663791875374	-0.0846334140963262
ARSFP1	-0.385047611742566	0.0550525826473871	-0.116693802717946
SLC2A14	0.0907254775340369	0.0737475702469572	-0.0222382075835402
FOSB	0.127352492152286	0.00452715863161085	0.0305816187812262
FOXI3	0.210364569744641	0.160875706863083	0.184969532992093
PCK1	0.0650948803763473	-0.145886251838073	-0.0666803552117818
CCNO	0.0826178373549848	-0.11160704005311	0.00568000997414311
CST8	-0.108774040122498	0.083091792990263	0.0833314929857166
C5orf17	0.0111821592559573	-0.0184573913969668	0.028477026071274
LINC00322	0.110762106878599	-0.0132016011419573	0.0549037027263876
RHOXF1	0.168015416774027	0.0648671863104497	0.0540497476144873
TBX5-AS1	0.205750115339423	0.0477298372563346	0.10709288708091
OR5P1P	-0.381435948410781	-0.20857869677524	-0.459123560882479
FAM237B	0.0773655279923271	-0.0728686227934829	-0.0185467935556171
KIF25-AS1	0.135127461698341	0.168767540763339	0.226396535134755
AP001046.1	0.128317110538769	0.00244274396645066	0.0535292502786451
CYP2T3P	-0.0894507365040726	-0.14473461568516	-0.156048713796387
KLK7	-0.186408613373192	-0.106063263164291	-0.0707536058776159
CXCL2	0.165130112955152	0.10647754933117	0.197737613447764
OPTC	0.0251418862837771	-0.0797132707900496	0.0537261626514249
USP6	0.119790746825568	0.106414664662671	0.051649832500277
OR2I1P	0.122180465132491	0.167400872819044	0.0444022868090348
PRSS56	-0.0431728021858955	-0.118173939840736	-0.0398071640149643
AC092506.1	0.122792502118837	-0.049134941356084	0.0638578884968008
PPIAP76	-0.209971341035945	-0.235872649466869	-0.204514454743973
LTF	0.15770082017641	0.0690871862774582	0.228491543142472
AP001002.3	0.310694024846292	0.310617683543509	0.16571731023852
